n_estimators,max_depth,min_leaf,threshold,precision,recall,f1,TP,FP,FN,TN
100,None,5,0.26,0.3574007220216607,1.0,0.5265957446808511,99,178,0,103
100,None,5,0.28,0.38076923076923075,1.0,0.5515320334261838,99,161,0,120
100,None,5,0.3,0.4177215189873418,1.0,0.5892857142857143,99,138,0,143
100,None,5,0.32,0.4474885844748858,0.98989898989899,0.6163522012578616,98,121,1,160
100,None,5,0.34,0.46411483253588515,0.9797979797979798,0.6298701298701298,97,112,2,169
100,None,5,0.36,0.49238578680203043,0.9797979797979798,0.6554054054054054,97,100,2,181
100,None,5,0.38,0.5300546448087432,0.9797979797979798,0.6879432624113475,97,86,2,195
100,None,5,0.4,0.5549132947976878,0.9696969696969697,0.7058823529411765,96,77,3,204
100,None,5,0.42,0.5900621118012422,0.9595959595959596,0.7307692307692307,95,66,4,215
100,None,5,0.44,0.6064516129032258,0.9494949494949495,0.7401574803149606,94,61,5,220
100,None,5,0.46,0.6433566433566433,0.9292929292929293,0.7603305785123967,92,51,7,230
100,None,5,0.48,0.6744186046511628,0.8787878787878788,0.7631578947368421,87,42,12,239
100,None,5,0.5,0.6854838709677419,0.8585858585858586,0.7623318385650223,85,39,14,242
100,None,5,0.52,0.7168141592920354,0.8181818181818182,0.7641509433962264,81,32,18,249
100,None,5,0.54,0.7358490566037735,0.7878787878787878,0.7609756097560976,78,28,21,253
100,None,5,0.56,0.7653061224489796,0.7575757575757576,0.7614213197969544,75,23,24,258
100,None,5,0.58,0.8095238095238095,0.6868686868686869,0.7431693989071038,68,16,31,265
100,None,5,0.6,0.7777777777777778,0.5656565656565656,0.6549707602339181,56,16,43,265
100,None,5,0.62,0.78125,0.5050505050505051,0.6134969325153373,50,14,49,267
100,None,5,0.64,0.82,0.41414141414141414,0.5503355704697985,41,9,58,272
100,None,5,0.66,0.8292682926829268,0.3434343434343434,0.4857142857142857,34,7,65,274
100,None,5,0.68,0.9032258064516129,0.2828282828282828,0.43076923076923074,28,3,71,278
100,None,5,0.7,0.9230769230769231,0.24242424242424243,0.384,24,2,75,279
100,None,5,0.72,0.95,0.1919191919191919,0.319327731092437,19,1,80,280
100,None,5,0.74,0.9230769230769231,0.12121212121212122,0.21428571428571427,12,1,87,280
100,None,5,0.76,1.0,0.06060606060606061,0.1142857142857143,6,0,93,281
100,None,5,0.78,1.0,0.04040404040404041,0.07766990291262137,4,0,95,281
100,None,5,0.8,1.0,0.030303030303030304,0.05882352941176471,3,0,96,281
100,None,10,0.2,0.2861271676300578,1.0,0.44494382022471907,99,247,0,34
100,None,10,0.22,0.29819277108433734,1.0,0.4593967517401392,99,233,0,48
100,None,10,0.24,0.308411214953271,1.0,0.4714285714285714,99,222,0,59
100,None,10,0.26,0.32038834951456313,1.0,0.4852941176470588,99,210,0,71
100,None,10,0.28,0.3289036544850498,1.0,0.49499999999999994,99,202,0,79
100,None,10,0.3,0.3485915492957746,1.0,0.5169712793733682,99,185,0,96
100,None,10,0.32,0.3626373626373626,1.0,0.532258064516129,99,174,0,107
100,None,10,0.34,0.38223938223938225,1.0,0.553072625698324,99,160,0,121
100,None,10,0.36,0.4024390243902439,1.0,0.5739130434782609,99,147,0,134
100,None,10,0.38,0.44594594594594594,1.0,0.616822429906542,99,123,0,158
100,None,10,0.4,0.46919431279620855,1.0,0.6387096774193548,99,112,0,169
100,None,10,0.42,0.49746192893401014,0.98989898989899,0.6621621621621622,98,99,1,182
100,None,10,0.44,0.521505376344086,0.9797979797979798,0.6807017543859649,97,89,2,192
100,None,10,0.46,0.5380116959064327,0.9292929292929293,0.6814814814814815,92,79,7,202
100,None,10,0.48,0.5838926174496645,0.8787878787878788,0.7016129032258064,87,62,12,219
100,None,10,0.5,0.625,0.8585858585858586,0.7234042553191489,85,51,14,230
100,None,10,0.52,0.6638655462184874,0.797979797979798,0.724770642201835,79,40,20,241
100,None,10,0.54,0.6964285714285714,0.7878787878787878,0.7393364928909952,78,34,21,247
100,None,10,0.56,0.7157894736842105,0.6868686868686869,0.7010309278350515,68,27,31,254
100,None,10,0.58,0.7792207792207793,0.6060606060606061,0.6818181818181818,60,17,39,264
100,None,10,0.6,0.7846153846153846,0.5151515151515151,0.6219512195121952,51,14,48,267
100,None,10,0.62,0.8181818181818182,0.45454545454545453,0.5844155844155845,45,10,54,271
100,None,10,0.64,0.8333333333333334,0.35353535353535354,0.49645390070921985,35,7,64,274
100,None,10,0.66,0.8076923076923077,0.21212121212121213,0.33599999999999997,21,5,78,276
100,None,10,0.68,0.8823529411764706,0.15151515151515152,0.25862068965517243,15,2,84,279
100,None,10,0.7,0.8181818181818182,0.09090909090909091,0.16363636363636364,9,2,90,279
100,None,10,0.72,1.0,0.04040404040404041,0.07766990291262137,4,0,95,281
100,None,10,0.74,1.0,0.010101010101010102,0.02,1,0,98,281
100,None,10,0.76,1.0,0.010101010101010102,0.02,1,0,98,281
100,None,10,0.78,0.0,0.0,0.0,0,0,99,281
100,None,10,0.8,0.0,0.0,0.0,0,0,99,281
100,5,1,0.2,0.27049180327868855,1.0,0.42580645161290326,99,267,0,14
100,5,1,0.22,0.2742382271468144,1.0,0.4304347826086956,99,262,0,19
100,5,1,0.24,0.28205128205128205,1.0,0.44000000000000006,99,252,0,29
100,5,1,0.26,0.2990936555891239,1.0,0.4604651162790698,99,232,0,49
100,5,1,0.28,0.31629392971246006,1.0,0.48058252427184467,99,214,0,67
100,5,1,0.3,0.3289036544850498,1.0,0.49499999999999994,99,202,0,79
100,5,1,0.32,0.336734693877551,1.0,0.5038167938931297,99,195,0,86
