incident_key,cluster,pca_x,pca_y,severe,automation_level
0b0421c9da77c11,0,-1.0024134458427096,-4.61495077701366,1,L2
0b0b5b73819d9eb,0,1.7854328369136052,1.7920273252029335,1,ADS
0b18a507fa15dc4,1,2.4997365197287778,-3.8896426959532437,1,ADS
0b237e7dc3aa33d,0,-2.5395087615504277,-5.170242949034386,1,L2
0b25422ecbffd30,0,-2.5171955968716073,1.785282062324247,1,L2
0b3397956e35406,1,3.438289563775361,1.7351488470775633,1,ADS
0b3719775168825,0,-2.5396387884539493,0.5599724386293465,1,L2
0b3b56ff3efd34f,0,-2.180002543300217,1.5925940895799982,1,L2
0b3ca1927d60743,1,3.86092618691734,1.574115649389758,0,ADS
0b3ca9d92ded81f,0,-3.64034831015643,0.31533171883775263,1,L2
0b428e30ab8e55b,0,-0.2946970669722762,1.7451831218648342,1,L2
0b4e6f2553687ed,0,-2.568384006705729,-5.168753368375702,1,L2
0b53c07a7e98af2,1,3.892139451492006,1.670478614484573,0,ADS
0b5712e5a741817,0,-0.6194766451910775,1.8645337668734994,1,L2
0b7b3ff1a94bace,1,3.780823637059489,1.6499980692851484,0,ADS
0b7d360b7336f37,0,-1.3729113268261632,1.5115662615979004,1,L2
0b7f1cdc21d7b11,0,-2.165503962903531,1.5678005193524271,1,L2
0b9165a1055309c,0,-0.8639428360526938,1.78834595540411,1,L2
0b944212c10e71a,1,1.081874840436514,1.5794873249653651,1,L2
0b95486b6cfaa05,0,-4.256222550261912,2.1431554952120777,1,L2
0b9e6fdfdb3821e,1,2.254293263601589,-3.8787466424367225,1,ADS
0ba78e8d642badc,0,-3.2505325005598693,0.2952223799455153,1,L2
0baa19c3c4de7ed,1,3.0840273064429358,2.0951983272094235,0,ADS
0bb88b017273830,0,0.3724986015032842,1.2449340382666054,0,ADS
0bbd9f4a21e80a6,1,2.904188931694577,2.026625138836546,0,ADS
0bd8e02a9c68348,0,-3.5031908956687507,0.3082562107090025,1,L2
0bdabfb53025c8a,1,4.454699351476973,-3.735052740361195,0,ADS
0bdcd0947a69992,1,1.1434186489325866,2.04743451673021,0,ADS
0bdf72aa87f2820,0,-1.4878257177227765,1.6111057991143327,1,L2
0beda96ff956725,1,3.114749619216108,-3.645787251695219,0,ADS
0befe1f5f5b0b5c,0,-2.527888395824907,0.9086997296596016,1,L2
0c03dd2822cb12a,1,0.3265741786200682,-4.187754000538005,1,L2
0c245b93719a23b,0,-1.291623631856828,1.3563125155795774,1,L2
0c2d1a810a14bd5,0,-3.0423490536512743,0.7319451206416799,1,L2
0c4773c170783f1,0,-2.8934412465345543,1.0735969035431845,1,L2
0c5b0c252443137,0,-3.5303100131535334,1.048881186280308,1,L2
0c5c84a13b2a281,1,3.867649876526418,1.639500366266186,0,ADS
0c6ef81369bcaed,0,-2.6665616960938383,0.5722186126715922,1,L2
0c7e3f0ce19fb32,1,3.7678452053375224,1.7748741599990665,1,ADS
0c866e73de5d9aa,0,-0.5896994749284713,-3.9576230190287114,1,L2
0c894593098a294,0,-3.7963155008093272,1.4355877795982113,1,L2
0c8da6d17337ae5,1,3.2171489799962125,1.8552782656731919,0,ADS
0c9a90bc73ade6f,1,3.648155829044863,1.8495555037979032,0,ADS
0c9b506f3a72635,0,-2.7300151119120133,0.919126794270391,1,L2
0cb307e3099fa7e,1,3.8230111307281787,1.54566750777563,0,ADS
0cc12230f0d8e74,1,3.8793361593541884,1.7430809163193663,1,ADS
0cc9d9a746d8ae5,1,3.7678452053375224,1.7748741599990665,0,ADS
0ce3a86182c471c,1,0.16252088820260072,1.7869248494087522,1,L2
0ced4d3e6a3e263,0,-1.8112917582114154,0.8295207680620018,1,L2
0cffa6c59a95c35,0,-0.6545275933180188,-3.9310564170932625,1,L2
0d0674857716a10,0,-3.020692619784799,0.7308279351476669,1,L2
0d0ae62c0bf671d,1,3.995649648563992,1.6081879657855582,0,ADS
0d0de93162edd74,0,0.8225813540095049,-3.680855314033343,1,L2
0d110b6662231c6,0,-3.1613617739655484,0.545000765322445,1,L2
0d12e8b70ddd7cc,0,-2.0864927534132316,1.3274981339999823,1,L2
0d1a06493f0a3fa,1,3.3647894344672324,1.6091626098604424,1,ADS
0d1fd967abc7d95,0,-1.3239969944112802,1.3172649097643707,1,L2
